,title,Movie_Rating,No_of_Ratings,Format,ReleaseYear,MPAA_Rating,Directed_By,Starring,Price
1280,The Little Mermaid (Bonus Content and X-Ray Features),4.5,5164,Prime Video,2023,PG,Rob Marshall,"Halle Bailey,Jonah Hauer-King,Daveed Diggs,Awkwafina",12.99
1281,The Devil You Know,4.5,8648,Prime Video,2022,,Charles Murray,"Michael Ealy,Omar Epps,Michael Beach,Erica Tazel",3.99
1282,The Devil You Know,4.5,8648,Prime Video,2022,,Charles Murray,"Michael Ealy,Omar Epps,Michael Beach,Erica Tazel",3.99
1283,Out of the Dark,4.1,221,Prime Video,2015,PG-13,Lluís Quílez,"Julia Stiles,Scott Speedman,Stephen Rea",
1284,Hats Off To Christmas!,4.7,204,Prime Video,2013,,Terry Ingram,"Haylie Duff,Antonio Cupo,Jay Brazeau",
1285,The Lego Movie 2: The Second Part,4.7,18602,Prime Video,2019,PG,Mike Mitchell,"Chris Pratt,Elizabeth Banks,Will Arnett,Alison Brie",
1286,Christmas in the Smokies,4.7,408,Prime Video,2015,,Gary Wheeler,"Sarah Lancaster,Barry Corbin,Alan Powell,Jill Wagner",
1287,Desperation Road,4.4,8,Prime Video,2023,R,Nadine Crocker,"Garrett Hedlund,Willa Fitzgerald,Ryan Hurst",6.99
1288,Halloween H20: 20 Years Later,4.6,6535,Prime Video,1998,R,"Miner,Steve","Jamie Lee Curtis,Adam Arkin,Michelle Williams",2.99
1289,Falling for Vermont,4.8,270,Prime Video,2017,,David Winning,"Julie Gonzalo,Benjamin Ayres",0.99
1290,A Turtle's Tale 2: Sammy's Escape From Paradise,4.3,408,Prime Video,2013,,"Vincent Kesteloot, Ben Stassen, Mimi Maynard",Khary Payton,
1291,Barbie (4K Ultra HD + Digital) [4K UHD],4.5,1639,4K,,,greta gerwig,"margot robbie,ryan gosling,will ferrell",29.96
1292,Annabelle,4.5,23599,Prime Video,2014,R,John R. Leonetti,"Annabelle Wallis,Ward Horton,Alfre Woodard",3.99
1293,Death Race 2000,4.6,954,Prime Video,1975,R,Paul Bartel,"Sylvester Stallone,David Carradine,Simone Griffeth",
1294,The Visitor,4.5,995,Prime Video,2008,PG-13,Thomas McCarthy,"Richard Jenkins, Maggie Moore, Hiam Abbass, Amir Arison",3.99
1295,Murphy's Law,4.5,353,Prime Video,1986,R,J. Lee Thompson,"Robert F. Lyons,Charles Bronson,Kathleen Wilhoite",
1296,I Am T-Rex,4.0,70,Prime Video,2023,,"Shang Ming,Si Lin","Ben Balmaceda,Charlie Campbell,Y. Chang",3.99
1297,Neighbors,4.5,11360,Prime Video,2014,R,Nicholas Stoller,"Seth Rogen,Zac Efron,Rose Byrne",3.59
1298,Judas and the Black Messiah,4.7,6994,Prime Video,2021,R,Shaka King,"Daniel Kaluuya,Lakeith Stanfield,Jesse Plemons",2.89
1299,The Locusts,4.3,42,Prime Video,1997,R,John Patrick Kelley,"Kate Capshaw,Jeremy Davies",
1300,The Founder,4.7,6153,Prime Video,2017,PG-13,John Lee Hancock,"Michael Keaton,Laura Dern,Linda Cardellini",
1301,Karen,4.1,19745,Prime Video,2021,R,Coke Daniels,"Taryn Manning,Cory Hardrict,Jasmine Burke",2.99
1302,The Lazarus Effect,4.1,1598,Prime Video,2015,PG-13,David Gelb,"Mark Duplass,Olivia Wilde,Sarah Bolger,Evan Peters",3.0
1303,The Suicide Squad,4.2,14797,Prime Video,2021,R,James Gunn,"Margot Robbie,Idris Elba,John Cena,Joel Kinnaman",
1304,Haunt,4.2,4829,Prime Video,2019,R,"Scott Beck,Bryan Woods","Katie Stevens,Will Brittain,Lauryn Alisa McClain",
1305,Dominion: Prequel To The Exorcist,4.1,759,Prime Video,2005,R,Paul Schrader,"Stellan Skarsgard,Ralph Brown,Gabriel Mann",
1306,China Doll,4.6,87,Prime Video,1958,,"Borzage,Frank","Victor Mature,Stuart Whitman",
1307,The Hired Heart,4.5,209,Prime Video,1997,,Jeremy Kagan,"Penelope Ann Miller,Brett Cullen,Barry Corbin",
1308,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),4.2,91643,Prime Video,2020,R,Cathy Yan,"Margot Robbie,Mary Elizabeth Winstead",
1309,My Bloody Valentine,4.5,2565,Prime Video,2009,R,Patrick Lussier,"Jaime King,Edi Gathegi,Kerr Smith,Jensen Ackles",
1310,Adeline,4.6,343,Prime Video,2022,,Greg James,"John Schneider,David Chokachi,Jake Satow",
1311,Trick or Treat Scooby-Doo!,4.4,1073,Prime Video,2022,,Audie Harrison,"Frank Welker,Grey DeLisle,Matthew Lillard",3.99
1312,Catch Hell,4.1,141,Prime Video,2014,,Ryan Phillippe,"Ryan Phillippe,Ian Barford,Stephen Louis Grush",
1313,P!nk: All I Know So Far,4.8,1083,Prime Video,2021,,,Michael Gracey,
1314,Quest for the Lost Pharaoh,4.3,9,Prime Video,2003,PG,Pierre Stine,Vassil Dobrev,
1315,Titanic,4.8,58050,Prime Video,1997,PG-13,James Cameron,"Leonardo DiCaprio,Kate Winslet,Billy Zane",3.99
1316,Admission,4.2,1601,Prime Video,2013,PG-13,Paul Weitz,"Tina Fey,Paul Rudd,Michael Sheen,Nat Wolff",3.79
1317,Traded,4.0,321,Prime Video,2016,,Timothy Woodward Jr.,"Quinton Aaron,Trace Adkins,Tom Sizemore,Martin Kove",
1318,Warhorse One,4.3,1199,Prime Video,2023,R,"Johnny Strong,William Kaufman","Johnny Strong,Athena Durner,Raj Kala",2.99
1319,Daylight,4.6,2776,Prime Video,1996,PG-13,"Rob L. Cohen,Rob Cohen","Vanessa Bell Calloway,Rosemary Forsythe",3.79
1320,Lost Child,4.0,391,Prime Video,2018,,Ramaa Mosley,"Leven Rambin,Jim Parrack,Landon Edwards",2.99
1321,The Big Country,4.8,3819,Prime Video,1958,,William Wyler,"Gregory Peck,Jean Simmons,Carroll Baker",
1322,Elvira: Mistress of the Dark,4.8,3964,Prime Video,1988,PG-13,James Signorelli,"Cassandra Peterson,Susan Kellerman,Jeff Conaway",2.99
1323,The Retrievers,4.3,100,Prime Video,2001,,Paul Schneider,"Robert Hays,Mei Harris,Alan Rachins",
1324,Blindfire,4.2,487,Prime Video,2020,,Mike Nell,"Brian Geraghty,Bethany Joy Lenz,Wayne Brady",
1325,Gangs Of New York,4.7,6675,Prime Video,2002,R,Martin Scorsese,"Leonardo DiCaprio,Daniel Day-Lewis,Cameron Diaz",
1326,Scooby-Doo 2: Monsters Unleashed,4.7,8497,Prime Video,2004,PG,Raja Gosnell,"Freddie Prinze,Sarah Michelle Gellar,Neil Fanning",
1327,A Walk in the Clouds,4.8,7231,Prime Video,1995,PG-13,Alfonso Arau,"Keanu Reeves,Aitana Sanchez-Gijon,Anthony Quinn",3.79
1328,"Love, Kennedy",4.6,655,Prime Video,2017,PG,T.C. Christensen,"Jasen Wade,Heather Beers,Tatum Chiniquy",
1329,Mary Higgins Clark's: Try to Remember,4.2,99,Prime Video,2004,PG-13,Jeff Beesely,"Gabrielle Anwar,Max Martini,Diego Wallraff",
1330,Captain America: The Winter Soldier,4.8,26859,Prime Video,2014,,"Anthony Russo,Joe Russo","Chris Evans,Scarlett Johansson,Samuel L. Jackson",3.99
1331,Tag,4.6,16869,Prime Video,2018,R,Jeff Tomsic,"Ed Helms,Jake Johnson,Annabelle Wallis",3.99
1332,RV,4.7,6206,Prime Video,2006,PG,Barry Sonnenfeld,"Diane Michelle,Robin Williams,Jeff Daniels",3.99
1333,Eraser: Reborn,4.0,2355,Prime Video,2022,R,John Pogue,"Dominic Sherwood,Jacky Lai",3.79
1334,Dark Skies,4.3,2844,Prime Video,2009,,Ron Oliver,"Shawn Roberts,Leslie Hope",1.99
1335,Kill Bill: Volume 2,4.8,7275,Prime Video,2004,R,Quentin Tarantino,"Uma Thurman,David Carradine,Michael Madsen",3.79
1336,Red 2,4.7,25730,Prime Video,2013,PG-13,Dean Parisot,"Catherine Zeta-Jones,David Thewlis,Bruce Willis",3.99
1337,Status Update,4.2,894,Prime Video,2018,PG-13,Scott Speer,"Ross Lynch,Olivia Holt,The Fat Jewish,Courtney Eaton",2.99
1338,Enter the Fat Dragon,4.0,3162,Prime Video,2020,,Kenji Tanigaki,"Donnie Yen,Teresa Mo,Wong Jing,Niki Chow",
1339,Elemental (Includes Bonus Content),4.8,2930,Prime Video,2023,PG,Peter Sohn,"Leah Lewis,Mamoudou Athie,Ronnie del Carmen",19.99
1340,The 355,4.2,11815,Prime Video,2022,PG-13,Simon Kinberg,"Jason Flemyng,Penélope Cruz,Jessica Chastain",
1341,Barefoot,4.2,5559,Prime Video,2014,PG-13,Andrew Fleming,"Evan Rachel Wood,Scott Speedman",3.99
1342,Where Your Heart Belongs,4.0,37,Prime Video,2022,,Christine Will Wolf,"Jen Lilley,Christopher Russell,Jill Morrison",
1343,The Lost Boys,4.8,20736,Prime Video,1987,R,Joel Schumacher,"Jason Patric,Corey Feldman,Kiefer Sutherland",
1344,Top Gun,4.8,6236,Prime Video,1986,PG,Tony Scott,"Tom Cruise,Tim Robbins,Kelly McGillis",3.79
1345,Harley Davidson and the Marlboro Man,4.7,3873,Prime Video,1991,R,Simon Wincer,"Mickey Rourke,Don Johnson,Chelsea Field",
1346,X-Men,4.7,6959,Prime Video,2000,PG-13,Bryan Singer,"Ian McKellen,Patrick Stewart,Dougray Scott",3.79
1347,The Secret Life of Pets,4.8,41213,Prime Video,2016,,Chris Renaud,"Louis C.K,Eric Stonestreet,Kevin Hart,Jenny Slate",3.79
1348,Hustle & Flow,4.7,4099,Prime Video,2005,R,Craig Brewer,"Terrence Howard,Anthony Anderson,Taryn Manning",
1349,Aachar & Co.,5.0,51,Prime Video,2023,,Sindhu Sreenivasa Murthy,"Sindhu Sreenivasa Murthy,Ashok L,Sudha Belawadi",
1350,The Last Exorcism Part II,4.2,364,Prime Video,2013,PG-13,Ed Gass-Donnelly,"Ashley Bell,Julia Garner,Spencer Treat Clark",4.19
1351,Allan Quatermain And The Lost City Of Gold,4.4,564,Prime Video,1987,PG,,Gary Nelson,
1352,Hamburger Hill,4.6,2142,Prime Video,1987,R,John Irvin,"Anthony Barrile,Michael Boatman,Don Cheadle",3.99
1353,Marty,4.7,976,Prime Video,1955,,Delbert Mann,"Ernest Borgnine,Betsy Blair,Esther Minciotti",3.09
1354,No Good Deed,4.7,7101,Prime Video,2014,PG-13,Sam Miller,"Idris Elba,Taraji P. Henson,Kate del Castillo",3.59
1355,Nobody Will Believe You,4.2,74,Prime Video,2021,,,Reel One Entertainment Inc.,2.99
1356,Return to the Lost World,4.1,373,Prime Video,1992,,Timothy Bond,"John Rhys-Davies,Eric McCormack,David Warner",
1357,The Gathering (2002),4.0,296,Prime Video,2002,R,Brian Gilbert,"Christina Ricci,Ioan Gruffudd,Stephen Dillane",
1358,Bad Ass,4.3,1334,Prime Video,2012,R,Craig Moss,"Danny Trejo,Charles S. Dutton,Patrick Fabian",
1359,Eddie Griffin: You Can Tell 'Em I Said It,4.7,285,Prime Video,2011,,Jay Karas,Eddie Griffin,
1360,The Road,4.5,3247,Prime Video,2009,R,John Hillcoat,"Viggo Mortensen,Charlize Theron,Guy Pearce",
1361,Bad Boys,4.7,2245,Prime Video,1983,R,Rick Rosenthal,"Sean Penn,Reni Santoni,Jim Moody,Esai Morales",
1362,SOUND OF FREEDOM,4.1,61,DVD,,,,"Jim Caviezel,Mira Sorvino",19.96
1363,Lonesome Dove Church,4.2,314,Prime Video,2014,,Terry Miles,"Tom Berenger,Greyson Holt,Alex Zahara,Drea Whitburn",
1364,Return to the Lost World,4.1,373,Prime Video,1992,,Timothy Bond,"John Rhys-Davies,Eric McCormack,David Warner",
1365,The Hired Heart,4.5,209,Prime Video,1997,,Jeremy Kagan,"Penelope Ann Miller,Brett Cullen,Barry Corbin",
1366,Casper,4.8,24088,Prime Video,1995,PG,Brad Silberling,"Christina Ricci,Bill Pullman,Cathy Moriarty,Eric Idle",3.99
1367,A Bridge Too Far,4.1,4,Prime Video,1977,PG,Richard Attenborough,"Sean Connery,Ryan O'Neal,Michael Caine",
1368,Red River (1948),4.7,1626,Prime Video,1948,PG-13,Howard Hawks,"John Wayne,Montgomery Clift",3.49
1369,Lemony Snicket's A Series of Unfortunate Events,4.6,4260,Prime Video,2004,PG,Brad Silberling,"Jim Carrey,Meryl Streep",
1370,Hustle & Flow,4.7,4099,Prime Video,2005,R,Craig Brewer,"Terrence Howard,Anthony Anderson,Taryn Manning",
1371,Witness For The Prosecution (1957),4.8,2069,Prime Video,1958,,Billy Wilder,"Marlene Dietrich,Tyrone Power,Charles Laughton",
1372,Bad Boys,4.7,2245,Prime Video,1983,R,Rick Rosenthal,"Sean Penn,Reni Santoni,Jim Moody,Esai Morales",
1373,Invisible Invaders,4.4,250,Prime Video,1959,,Edward L. Cahn,"John Agar,Jean Byron",3.89
1374,20000 Leagues Under the Sea,4.0,152,Prime Video,1997,,Michael Anderson,"Richard Crenna,Ben Cross,Paul Gross",
1375,Lost Child,4.0,391,Prime Video,2018,,Ramaa Mosley,"Leven Rambin,Jim Parrack,Landon Edwards",2.99
1376,Pacific Ocean Waves,4.4,60,Prime Video,2017,,,Mark Knight,1.99
1377,Cinderella,4.7,23787,Prime Video,2015,PG,Kenneth Branagh,"Lily James,Richard Madden,Cate Blanchett",3.79
1378,Carriers,4.0,1421,Prime Video,2009,PG-13,"Alex Pastor,David Pastor","Lou Taylor Pucci,Chris Pine,Piper Perabo",
1379,Dear Viola,4.3,311,Prime Video,2014,,Laurie Lynd,"Kellie Martin,Jefferson Brown,Jackie Richardson",
1380,Red River (1948),4.7,1626,Prime Video,1948,PG-13,Howard Hawks,"John Wayne,Montgomery Clift",3.49
1381,Cinderella,4.7,23787,Prime Video,2015,PG,Kenneth Branagh,"Lily James,Richard Madden,Cate Blanchett",3.79
1382,Pacific Ocean Waves,4.4,60,Prime Video,2017,,,Mark Knight,1.99
1383,Boys of H Company,4.2,50,Prime Video,2004,,Joe Wiecha,"Billy Asai,Stephanie Bannevich,Robert Bartusch",
1384,A Bridge Too Far,4.1,4,Prime Video,1977,PG,Richard Attenborough,"Sean Connery,Ryan O'Neal,Michael Caine",
1385,Above the Shadows,4.2,971,Prime Video,2019,,Claudia Myers ,"Olivia Thirlby,Megan Fox,Alan Ritchson,Jim Gaffigan",2.99
1386,The Most Wonderful Time of the Year,4.9,3695,Prime Video,2008,,Michael Scott,"Brooke Burns,Henry Winkler,Warren Christie",
1387,Leanne Morgan: So Yummy,4.1,50,Prime Video,2017,,Isaac Halasima,Leanne Morgan,
1388,The Last Deal,4.0,199,Prime Video,2023,R,Jonathan Salemi,"Gigi Gustin,Sala Baker,Anthony Molinari,Mike Ferguson",
1389,Sing 2,4.8,68377,Prime Video,2021,PG,Garth Jennings,"Matthew McConaughey,Reese Witherspoon",3.79
1390,The Legend of Zorro,4.7,1857,Prime Video,2005,PG,Martin Campbell,"Antonio Banderas,Catherine Zeta-Jones,Alberto Reyes",3.99
1391,Poltergeist,4.1,5073,Prime Video,2015,PG-13,Gil Kenan,"Sam Rockwell,Rosemarie DeWitt,Jared Harris,Jane Adams",3.79
1392,Lemony Snicket's A Series of Unfortunate Events,4.6,4260,Prime Video,2004,PG,Brad Silberling,"Jim Carrey,Meryl Streep",
1393,The Firm,4.7,2955,Prime Video,1993,R,Sydney Pollack,"Tom Cruise,Jeanne Tripplehorn,Ed Harris,Holly Hunter",3.79
1394,Law Abiding Citizen,4.7,15846,Prime Video,2009,R,F. Gary Gray,"Jamie Foxx,Gerard Butler,Viola Davis,Bruce McGill",
1395,Space Jam: A New Legacy,4.3,9385,Prime Video,2021,PG,"Malcolm Lee,Malcolm D. Lee","LeBron James,Don Cheadle,Cedric Joe,Khris Davis",
1396,Of Mice And Men,4.7,4525,Prime Video,1992,PG-13,Gary Sinise,"Gary Sinise,John Malkovich,Sherilyn Fenn",
1397,My One True Love,4.5,72,Prime Video,2022,,John Lyde,"Andriana Manfredi,Ross Jirgl,Jess DelVizo,Shae Robins",
1398,The Ghost Writer,4.3,1418,Prime Video,2010,PG-13,Roman Polanski,"Ewan McGregor,Jon Bernthal,James Belushi,Kim Cattrall",
1399,Jimmy Neutron: Boy Genius,4.7,1808,Prime Video,2001,PG,John Davis,"Megan Cavanagh,Mark Decarlo,Debi Derryberry",3.79
1400,CB4,4.7,1171,Prime Video,1993,,Tamra Davis,"Chris Rock,Allen Payne,Deezer D,Chris Elliott",3.99
1401,The SpongeBob Movie: Sponge Out of Water,4.5,26867,Prime Video,2015,PG,"Paul Tibbitt,Mike Mitchell",Antonio Banderas,3.09
1402,Crash,4.6,6155,Prime Video,2005,R,Paul Haggis,"Sandra Bullock,Don Cheadle,Matt Dillon",
1403,You've Got Mail,4.8,17518,Prime Video,1998,PG,Nora Ephron,"Tom Hanks,Meg Ryan,Greg Kinnear,Parker Posey",3.79
1404,The Time Machine (2002),4.6,2837,Prime Video,2002,PG-13,---,"Guy Pearce,Mark Addy,Philip Rosco,Phyllida Law",2.99
1405,Volcano,4.6,6459,Prime Video,1997,PG-13,Mick Jackson,"Tommy Lee Jones,Anne Heche,Gaby Hoffmann,Don Cheadle",3.79
1406,The James Bond Collection [Blu-ray],4.8,3770,Blu-ray,,,Various,Various,54.99
1407,Shottas,4.6,1535,Prime Video,2002,R,Cess Silvera,"Ky-Mani Marley,Spragga Benz,Louie Rankin",
1408,Blue Collar Comedy Tour: The Movie,4.7,1037,Prime Video,2003,PG-13,C.B. Harding,"Jeff Foxworthy,Bill Engvall,Ron White,Heidi Klum",
1409,Boxcar Bertha,4.2,226,Prime Video,1972,R,Martin Scorsese,"Barbara Hershey,David Carradine,Barry Primus",3.99
1410,Somewhere in Time,4.8,1800,Prime Video,1980,PG,Jeannot Szwarc,"Christopher Reeve,Jane Seymour,Christopher Plummer",
1411,Witness For The Prosecution (1957),4.8,2069,Prime Video,1958,,Billy Wilder,"Marlene Dietrich,Tyrone Power,Charles Laughton",
1412,Invasion U.S.A.,4.6,1129,Prime Video,1985,R,Joseph Zito,"Chuck Norris,Richard Lynch,Melissa Prophet",
1413,Instructions Not Included,4.7,3140,Prime Video,2013,PG-13,Eugenio Derbez,"Eugenio Derbez,Jessica Lindsey,Loreto Peralta",
1414,Harvest Moon,4.8,893,Prime Video,2021,,Peter DeLuise,"Jessy Schram,Jesse Hutch",0.99
1415,Prescription for Love,4.0,545,Prime Video,2020,,Brian Brough,"Jillian Murray,Trevor Donovan,Mikayla Iverson",
1416,Old MacDonald Had a Farm & More Kids Songs - Super Simple Songs,4.8,153,Prime Video,2019,,,Brett Jubinville,0.99
1417,Casper,4.8,24088,Prime Video,1995,PG,Brad Silberling,"Christina Ricci,Bill Pullman,Cathy Moriarty,Eric Idle",3.99
1418,The Report,4.2,2276,Prime Video,2019,R,Scott Z. Burns,"Adam Driver,Annette Bening,Jon Hamm,Corey Stoll",
1419,Fast X (4K Ultra HD + Blu-Ray + Digital) [4K UHD],4.4,14717,4K,,,,"Vin Diesel,Michelle Rodriguez,Jason Momoa",22.24
1420,All Eyez on Me,4.6,8307,Prime Video,2017,R,Benny Boom,"Demetrius Shipp Jr.,Danai Gurira,Katerina Graham",3.99
1421,The Lord of the Rings: Return of the King: Extended Edition,4.9,28229,Prime Video,2003,PG-13,Peter Jackson,"Elijah Wood,Viggo Mortensen,Sean Astin,Liv Tyler",14.99
1422,Me Before You,4.8,37033,Prime Video,2016,PG-13,Thea Sharrock,"Emilia Clarke,Sam Claflin,Janet McTeer,Charles Dance",3.99
1423,Shrek,4.9,17812,Prime Video,2001,PG,"Vicky Jenson,Andrew Adamson","Mike Myers,Eddie Murphy,Cameron Diaz,John Lithgow",3.79
1424,Lovelace,4.2,1092,Prime Video,2013,R,"Rob Epstein,Jeffrey Friedman","Adam Brody,Amanda Seyfried,Chris Noth,James Franco",
1425,Storm Rider,4.7,521,Prime Video,2013,PG-13,Craig Clyde,"C. Thomas Howell,Kristy Swanson,Danielle C. Ryan",
1426,The Flash (Bonus X-Ray Edition),4.2,6167,Prime Video,2023,PG-13,Andy Muschietti,"Michael Keaton,Antje Traue,Kiersey Clemons",5.99
1427,Batman Returns,4.7,6906,Prime Video,1992,PG-13,Tim Burton,"Michael Keaton,Michelle Pfeiffer,Christopher Walken",3.99
1428,X-Men: The Last Stand,4.6,10495,Prime Video,2006,PG-13,Brett Ratner,"Hugh Jackman,Halle Berry,Ian McKellen,Famke Janssen",3.79
1429,Spirit Halloween: The Movie,4.0,1309,Prime Video,2022,,David Poag,"Rachael Leigh Cook,Christopher Lloyd,Marla Gibbs",
1430,Hit and Run,4.6,2271,Prime Video,2012,R,"Dax Shepard,David Palmer","Dax Shepard,Kristen Bell,Bradley Cooper,Tom Arnold",3.79
1431,Alex Rider: Operation Stormbreaker,4.3,1055,Prime Video,2006,PG,Geoffrey Sax,"Alex Pettyfer,Mickey Rourke,Alicia Silverstone",
1432,The Clue to Love,4.2,84,Prime Video,2021,,Graeme Campbell,"Rachel Bles,Travis Milne,Tanisha Thammavongsa",
1433,UFO's Are Real,4.5,11,Prime Video,1979,,Ed Hunt,Brandon Chase,
1434,The Big Easy,4.5,786,Prime Video,1987,R,Jim McBride,"Dennis Quaid,Ellen Barkin,Ned Beatty,John Goodman",
1435,Celine,4.5,353,Prime Video,2008,PG,Jeff Woolnough,"Christine Ghawi,Jodelle Ferland,Peter MacNeill",
1436,Invisible Invaders,4.4,250,Prime Video,1959,,Edward L. Cahn,"John Agar,Jean Byron",3.89
1437,Keanu Reeves: Journey to Success,4.3,90,Prime Video,2003,,Chaz Thorne,"Keanu Reeves,Cameron Diaz,Carrie Ann Moss",
1438,Beyond The Black Rainbow,4.1,1450,Prime Video,2011,R,Panos Cosmatos,"Eva Allan,Scott Hylands",2.99
1439,Barbara,4.1,353,Prime Video,2012,PG-13,Christian Petzold,"Jasna Fritzi Bauer,Nina Hoss,Ronald Zehrfeld",3.99
1440,Mission of the Shark,4.0,109,Prime Video,1991,,"Iscove,Robert","Stacy Keach,Richard Thomas",
1441,The Irish Pub,4.3,154,Prime Video,2014,,,Alex Fegan,
1442,Alex Rider: Operation Stormbreaker,4.3,1055,Prime Video,2006,PG,Geoffrey Sax,"Alex Pettyfer,Mickey Rourke,Alicia Silverstone",
1443,Puss in Boots: The Last Wish,4.7,18600,Prime Video,2022,PG,"Joel Crawford,Januel P. Mercado","Antonio Banderas,Salma Hayek,Harvey Guillén",3.99
1444,Shut In,4.1,859,Prime Video,2016,PG-13,Farren Blackburn,"Naomi Watts,Oliver Platt,Charlie Heaton",3.59
1445,Wolves,4.2,2497,Prime Video,2014,R,David Hayter,"Jason Momoa,Lucas Till,Jennifer Hale",
1446,Cocoa Brown: Famous Enough,4.6,11,Prime Video,2022,,Brian Volk-Weiss,Cocoa Brown,
1447,Guardians of the Galaxy Vol. 3 (Includes Bonus Content),4.6,11182,Prime Video,2023,PG-13,James Gunn,"Chris Pratt,Zoe Saldaña,Dave Bautista,Karen Gillan",19.99
1448,You're Not You,4.6,723,Prime Video,2014,R,George C. Wolfe,"Hilary Swank,Emmy Rossum,Josh Duhamel",3.99
1449,Hats Off To Christmas!,4.7,204,Prime Video,2013,,Terry Ingram,"Haylie Duff,Antonio Cupo,Jay Brazeau",
1450,The Founder,4.7,6153,Prime Video,2017,PG-13,John Lee Hancock,"Michael Keaton,Laura Dern,Linda Cardellini",
1451,Teenage Mutant Ninja Turtles: Mutant Mayhem | TEEN,4.6,812,Prime Video,2023,PG,"Jeff Rowe,Kyler Spears","Micah Abbey,Shamon Brown,Nicolas Cantu,Brady Noon",
1452,Hazlo Como Hombre (English Subtitled),4.5,511,Prime Video,2017,R,Nicolás López,"Mauricio Ochmann,Alfonso Dosal,Humberto Busto",3.99
1453,Keanu Reeves: Journey to Success,4.3,90,Prime Video,2003,,Chaz Thorne,"Keanu Reeves,Cameron Diaz,Carrie Ann Moss",
1454,The Magnificent Seven,4.7,5629,Prime Video,1960,R,John Sturges,"Yul Brynner,Steve McQueen,Eli Wallach,Horst Buchholz",
1455,The Elephant in the Living Room,4.5,166,Prime Video,2011,PG,Michael Webber,"Tim Harrison,Terry Brumfield,Russ Clear,Casey Craig",
1456,The Clue to Love,4.2,84,Prime Video,2021,,Graeme Campbell,"Rachel Bles,Travis Milne,Tanisha Thammavongsa",
1457,A View to a Kill,4.6,2098,Prime Video,1985,PG,John Glen,"Roger Moore,Christopher Walken,Tanya Roberts",
1458,X-Men: Days of Future Past,4.6,15128,Prime Video,2014,PG-13,Bryan Singer,"Hugh Jackman,James McAvoy,Michael Fassbender",
1459,Still Breathing,4.4,370,Prime Video,1998,,James F. Robinson,"Brendan Fraser,Joanna Going,Celeste Holm",
1460,Control,4.1,61,Prime Video,2005,R,Tim Hunter,"Ray Liotta,Willem Dafoe,Michelle Rodriguez",
1461,The Magnificent Seven,4.7,5629,Prime Video,1960,R,John Sturges,"Yul Brynner,Steve McQueen,Eli Wallach,Horst Buchholz",
1462,UHF,4.8,3563,Prime Video,1989,PG-13,Jay Levey,"WeirdAl Yankovic,Victoria Jackson,Michael Richards",
1463,High Spirits,4.7,1943,Prime Video,1988,PG-13,Neil Jordan,"Peter O’Toole,Daryl Hannah,Steve Guttenberg",
1464,Stevie Nicks - Through The Looking Glass,4.2,318,Prime Video,2013,,Not Specified,Stevie Nicks,
1465,Freedom Writers,4.8,6127,Prime Video,2007,,Richard LaGravenese,"Hilary Swank,Scott Glenn,Imelda Staunton",2.89
1466,Mayhem,4.4,3225,Prime Video,2017,,Joe Lynch,"Steven Yeun,Samara Weaving,Dallas Roberts",2.69
1467,Our Idiot Brother,4.4,1385,Prime Video,2011,R,Jesse Peretz,"Paul Rudd,Elizabeth Banks,Zooey Deschanel",3.99
1468,Meet Joe Black,4.7,9652,Prime Video,1998,,Martin Brest,"Brad Pitt,Anthony Hopkins,Claire Forlani,Jake Weber",3.79
1469,Blumhouse's Fantasy Island,4.0,43347,Prime Video,2020,,Jeff Wadlow,"Michael Pena,Maggie Q,Lucy Hale,Austin Stowell",3.59
